name,category,city,lat,lon,source
Service road - Sarkhej Gandhinagar Highway,Road,Ahmedabad,23.000148,72.499303,OSM
Vastrapur railway station road,Road,Ahmedabad,23.004757,72.514242,OSM
Vastrapur railway station road,Road,Ahmedabad,23.00599,72.512061,OSM
Vastrapur railway station road,Road,Ahmedabad,23.00644,72.512159,OSM
Vastrapur railway station road,Road,Ahmedabad,23.00627,72.512447,OSM
Ashram Road,Road,Ahmedabad,23.009184,72.561926,OSM
Ashram Road,Road,Ahmedabad,23.009059,72.561845,OSM
Swami Vivekananda Bridge,Road,Ahmedabad,23.022629,72.573063,OSM
Swami Vivekananda Bridge,Road,Ahmedabad,23.022451,72.573226,OSM
Ellis Flyover,Road,Ahmedabad,23.022614,72.573297,OSM
Ellis Flyover,Road,Ahmedabad,23.022483,72.573057,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.012336,72.569581,OSM
Netaji Subhash Chandra Road,Road,Ahmedabad,23.012246,72.569517,OSM
Satellite Road,Road,Ahmedabad,23.024137,72.532513,OSM
Corporate road,Road,Ahmedabad,23.002671,72.503127,OSM
Corporate road,Road,Ahmedabad,23.007093,72.506214,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.984708,72.471429,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.985809,72.471122,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.997266,72.473013,OSM
Mumatpura Flyover,Road,Ahmedabad,23.009609,72.477535,OSM
Mumatpura Flyover,Road,Ahmedabad,23.009574,72.47766,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.017449,72.480297,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.017433,72.480414,OSM
Sanand Chokdi Flyover,Road,Ahmedabad,22.982638,72.493507,OSM
Flyover,Road,Ahmedabad,22.98191,72.493139,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.937683,72.495386,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.938363,72.494904,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.942164,72.488029,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.942423,72.488472,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.955678,72.478951,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.957186,72.478492,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.9599,72.476686,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.959818,72.476377,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.966341,72.474818,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.96646,72.475272,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.956746,72.47844,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.955634,72.479299,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.972593,72.47357,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.972636,72.473682,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.97856,72.470922,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.975737,72.472449,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.98258,72.471265,OSM
Sanathal Telav Road,Road,Ahmedabad,22.966242,72.466537,OSM
Sanathal Telav Road,Road,Ahmedabad,22.96342,72.459294,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.934722,72.522385,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.934221,72.529154,OSM
Club O7 Road,Road,Ahmedabad,23.007016,72.454292,OSM
Club O7 Road,Road,Ahmedabad,23.006975,72.454761,OSM
100 Ft. Road,Road,Ahmedabad,23.017288,72.543012,OSM
Ramdevnagar road,Road,Ahmedabad,23.02271,72.51067,OSM
Dhumketu Marg,Road,Ahmedabad,23.009257,72.549961,OSM
